t_B	S_xz
0.0747	11.1833
0.0748	11.1792
0.0749	11.175
0.075	11.1712
0.0751	11.1681
0.0752	11.165
0.0753	11.1616
0.0754	11.1589
0.0755	11.1563
0.0756	11.1535
0.0757	11.1507
0.0758	11.1478
0.0759	11.1447
0.076	11.1417
0.0761	11.1388
0.0762	11.1359
0.0763	11.1327
0.0764	11.1298
0.0765	11.1269
0.0766	11.1243
0.0767	11.1218
0.0768	11.1196
0.0769	11.1181
0.077	11.1166
0.0771	11.1151
0.0772	11.1133
0.0773	11.1117
0.0774	11.1104
0.0775	11.1095
0.0776	11.109
0.0777	11.1082
0.0778	11.1072
0.0779	11.1057
0.078	11.1037
0.0781	11.1009
0.0782	11.0979
0.0783	11.0946
0.0784	11.0911
0.0785	11.0871
0.0786	11.0828
0.0787	11.0786
0.0788	11.0743
0.0789	11.0703
0.079	11.0664
0.0791	11.0624
0.0792	11.0583
0.0793	11.0539
0.0794	11.0495
0.0795	11.045
0.0796	11.0407
0.0797	11.0363
0.0798	11.0321
0.0799	11.0279
0.08	11.0242
0.0801	11.0206
0.0802	11.0172
0.0803	11.014
0.0804	11.011
0.0805	11.0082
0.0806	11.0055
0.0807	11.0025
0.0808	10.9994
0.0809	10.9962
0.081	10.993
0.0811	10.9897
0.0812	10.9863
0.0813	10.983
0.0814	10.9796
0.0815	10.9762
0.0816	10.9733
0.0817	10.9707
0.0818	10.9682
0.0819	10.966
0.082	10.9641
0.0821	10.9622
0.0822	10.9608
0.0823	10.96
0.0824	10.9594
0.0825	10.959
0.0826	10.9586
0.0827	10.9583
0.0828	10.958
0.0829	10.9574
0.083	10.9564
0.0831	10.9552
0.0832	10.9535
0.0833	10.9515
0.0834	10.9493
0.0835	10.9469
0.0836	10.9443
0.0837	10.9412
0.0838	10.9377
0.0839	10.9344
0.084	10.9308
0.0841	10.9272
0.0842	10.9233
0.0843	10.9194
0.0844	10.9152
0.0845	10.9114
0.0846	10.9077
0.0847	10.9043
0.0848	10.9007
0.0849	10.8973
0.085	10.8945
0.0851	10.8917
0.0852	10.8887
0.0853	10.8858
0.0854	10.8829
0.0855	10.88
0.0856	10.877
0.0857	10.8742
0.0858	10.8714
0.0859	10.8686
0.086	10.8657
0.0861	10.8629
0.0862	10.8602
0.0863	10.8579
0.0864	10.8555
0.0865	10.8534
0.0866	10.8511
0.0867	10.8489
0.0868	10.847
0.0869	10.845
0.087	10.843
0.0871	10.8413
0.0872	10.8399
0.0873	10.8386
0.0874	10.8369
0.0875	10.8355
0.0876	10.834
0.0877	10.8325
0.0878	10.831
